year,iter,data,scenario,biol,code,metric
2029,65,1264.90748250611,om11_2,CJM,tun43,C
2030,65,1454.02710314687,om11_2,CJM,tun43,C
2031,65,1605.98086692976,om11_2,CJM,tun43,C
2032,65,1842.9905396359,om11_2,CJM,tun43,C
2033,65,2062.34931338219,om11_2,CJM,tun43,C
2034,65,2065.00637278551,om11_2,CJM,tun43,C
2035,65,2076.42701739571,om11_2,CJM,tun43,C
2036,65,2021.80576877789,om11_2,CJM,tun43,C
2037,65,2056.39583743996,om11_2,CJM,tun43,C
2038,65,2066.6593530321,om11_2,CJM,tun43,C
2039,65,2034.69351237765,om11_2,CJM,tun43,C
2040,65,2034.15796981316,om11_2,CJM,tun43,C
2041,65,2086.19438608755,om11_2,CJM,tun43,C
2042,65,2066.06527723924,om11_2,CJM,tun43,C
2043,65,2059.85840799878,om11_2,CJM,tun43,C
2044,65,2059.40628132942,om11_2,CJM,tun43,C
2045,65,2013.44200309172,om11_2,CJM,tun43,C
2046,65,2042.75670119678,om11_2,CJM,tun43,C
2047,65,2083.27710213422,om11_2,CJM,tun43,C
2048,65,2018.2325428256,om11_2,CJM,tun43,C
2049,65,1995.92068823263,om11_2,CJM,tun43,C
2050,65,2024.17751812734,om11_2,CJM,tun43,C
2025,110,1385.8907626811,om11_2,CJM,tun43,C
2026,110,1251.47793513651,om11_2,CJM,tun43,C
2027,110,1259.3359062953,om11_2,CJM,tun43,C
2028,110,1266.83443750783,om11_2,CJM,tun43,C
2029,110,1427.9434393241,om11_2,CJM,tun43,C
2030,110,1643.65857587178,om11_2,CJM,tun43,C
2031,110,1860.12774381378,om11_2,CJM,tun43,C
2032,110,2061.30811738441,om11_2,CJM,tun43,C
2033,110,2068.34351253821,om11_2,CJM,tun43,C
2034,110,2046.47931028152,om11_2,CJM,tun43,C
2035,110,1997.72052116009,om11_2,CJM,tun43,C
2036,110,2018.90832470855,om11_2,CJM,tun43,C
2037,110,2009.89254360212,om11_2,CJM,tun43,C
2038,110,2066.56705118828,om11_2,CJM,tun43,C
2039,110,2069.85533866857,om11_2,CJM,tun43,C
2040,110,2009.338229067,om11_2,CJM,tun43,C
2041,110,1990.86317616638,om11_2,CJM,tun43,C
2042,110,2064.19648163611,om11_2,CJM,tun43,C
2043,110,1604.47076518923,om11_2,CJM,tun43,C
2044,110,1350.3269641361,om11_2,CJM,tun43,C
2045,110,1135.18840457376,om11_2,CJM,tun43,C
2046,110,946.239786211651,om11_2,CJM,tun43,C
2047,110,758.030842926642,om11_2,CJM,tun43,C
2048,110,611.199194274674,om11_2,CJM,tun43,C
2049,110,485.792733341847,om11_2,CJM,tun43,C
2050,110,440.41900629418,om11_2,CJM,tun43,C
2025,151,1385.8907626811,om11_2,CJM,tun43,C
2026,151,1260.39941938924,om11_2,CJM,tun43,C
2027,151,1223.56677808421,om11_2,CJM,tun43,C
2028,151,1156.93761423741,om11_2,CJM,tun43,C
2029,151,1063.81039651814,om11_2,CJM,tun43,C
2030,151,1154.39380911243,om11_2,CJM,tun43,C
2031,151,1337.52090039721,om11_2,CJM,tun43,C
2032,151,1521.45252748929,om11_2,CJM,tun43,C
2033,151,1752.49074942347,om11_2,CJM,tun43,C
2034,151,2038.48104211536,om11_2,CJM,tun43,C
2035,151,2021.31949233161,om11_2,CJM,tun43,C
2036,151,2076.33689312617,om11_2,CJM,tun43,C
2037,151,2057.36296176033,om11_2,CJM,tun43,C
2038,151,1993.6662515477,om11_2,CJM,tun43,C
2039,151,2079.86463800664,om11_2,CJM,tun43,C
