mp,statistic,metric,raw_value,preferred_direction,include,weight,years,summary,om_code,om_label,component,n_iter
HS-20 (MP43),FMSY,F / F[MSY],1.18741389891028,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
HSsym (MP45),FMSY,F / F[MSY],1.1602401827061,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
HS-30 (MP47),FMSY,F / F[MSY],1.14853462454009,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
PR+20 (MP32),FMSY,F / F[MSY],0.916343332113742,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
PR-20 (MP44),FMSY,F / F[MSY],0.910753341228941,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
PRsym (MP46),FMSY,F / F[MSY],0.93314753948813,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
PR-30 (MP48),FMSY,F / F[MSY],0.847675296951873,lower is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
HS+20 (MP29),IACC,IACC,8.87782336056823,lower is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
HS-20 (MP43),IACC,IACC,8.94732256588016,lower is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
HSsym (MP45),IACC,IACC,8.71991510680601,lower is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
HS-30 (MP47),IACC,IACC,9.33575317894182,lower is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
PR+20 (MP32),IACC,IACC,12.3925387184373,lower is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
PR-20 (MP44),IACC,IACC,12.5949359662136,lower is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
PRsym (MP46),IACC,IACC,11.5792552161862,lower is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
PR-30 (MP48),IACC,IACC,14.3754660326408,lower is better,TRUE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11_2,Recruitment crash (om11_2),CJM,500
HS+20 (MP29),PC270,P(catch < 270 kt),0.0692,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11_2,Recruitment crash (om11_2),CJM,500
PR+20 (MP32),PC270,P(catch < 270 kt),0.0426,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11_2,Recruitment crash (om11_2),CJM,500
HS-20 (MP43),PC270,P(catch < 270 kt),0.0646,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11_2,Recruitment crash (om11_2),CJM,500
PR-20 (MP44),PC270,P(catch < 270 kt),0.029,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11_2,Recruitment crash (om11_2),CJM,500
HSsym (MP45),PC270,P(catch < 270 kt),0.076,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11_2,Recruitment crash (om11_2),CJM,500
PRsym (MP46),PC270,P(catch < 270 kt),0.0384,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11_2,Recruitment crash (om11_2),CJM,500
HS-30 (MP47),PC270,P(catch < 270 kt),0.036,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11_2,Recruitment crash (om11_2),CJM,500
PR-30 (MP48),PC270,P(catch < 270 kt),0.0144,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11_2,Recruitment crash (om11_2),CJM,500
HS+20 (MP29),SB0red,P(Kobe red),0.3986,lower is better,FALSE,1,2041-2050,Proportion across all 2041-2050 iteration-years,om11_2,Recruitment crash (om11_2),CJM,500
